Adress;Postnr;Postort;Nytt Postnr;Ny Postort
Norrviksgatan 25;86035;SÖRÅKER;86194;SÖRÅKER
Platsvägen 5;93010;LÖVÅNGER;93261;LÖVÅNGER
Lindforsvägen 27;66060;MOLKOM;65597;MOLKOM
Sandvik Fiskaregränd;57002;STOCKARYD;57694;STOCKARYD
Jennys väg 2C;36053;SKRUV;36594;SKRUV
Västbacka Inlandsvägen 77;82050;LOS;82770;LOS
Kopparslagaregatan 12;28022;VITTSJÖ;28267;VITTSJÖ
Myrstigen 11;66011;BILLINGSFORS;66641;BILLINGSFORS
Vidablicksvägen 20;31138;FALKENBERG;31178;FALKENBERG
Estamåla 2;36023;ÄLMEBODA;36298;ÄLMEBODA
Hällskogsvägen 46;81040;HEDESUNDA;81895;HEDESUNDA
Bokhultet 13;37033;TVING;37339;TVING
Trädgårdsvägen 5;56034;VISINGSÖ;56394;VISINGSÖ
Barkvägen 6;82020;LJUSNE;82675;LJUSNE
Torpvägen 18;93010;LÖVÅNGER;93261;LÖVÅNGER
Viresjövägen 14;57021;MALMBÄCK;57168;MALMBÄCK
Lyckeby 220;38040;ORREFORS;38272;ORREFORS
Viforsen 122;85590;SUNDSVALL;85358;SUNDSVALL
Nysäter 112;86025;KOVLAND;85592;KOVLAND
Bengt Augusta väg 11;31198;GLOMMEN;31154;GLOMMEN
Nordangårdsvägen 3;81040;HEDESUNDA;81895;HEDESUNDA
Turistvägen 64B;82040;JÄRVSÖ;82750;JÄRVSÖ
Våeryd 19;56031;TENHULT;56163;TENHULT
Elfströms väg 19;54066;SJÖTORP;54266;SJÖTORP
Nybovägen 30;86035;SÖRÅKER;86152;SÖRÅKER
Sven-Olsvägen 6;82041;FÄRILA;82762;FÄRILA
Hallingbacken 4;66010;DALS LÅNGED;66694;DALS LÅNGED
Högland 110;86041;LIDEN;85599;LIDEN
Fästeredssund Skogslid 170;52011;VEGBY;52362;VEGBY
Ängvägen 4;66050;VÅLBERG;66450;VÅLBERG
Villavägen 17C;36053;SKRUV;36594;SKRUV
Knoppe 214;82070;BERGSJÖ;82952;BERGSJÖ
Böle 8;93010;LÖVÅNGER;93293;LÖVÅNGER
Gröna vägen 1;28020;BJÄRNUM;28265;BJÄRNUM
Stensjövägen 40;56030;TENHULT;56162;TENHULT
Avaås 4;93070;MALÅ;93993;MALÅ
Blåpannevägen 40;36023;ÄLMEBODA;36298;ÄLMEBODA
Björkbergsvägen 124;82051;HAMRA;82771;HAMRA
Stora Hammar 205;37042;TORHAMN;37371;TORHAMN
Norrgårdsvägen 12;82064;NÄSVIKEN;82467;NÄSVIKEN
Limhallavägen 1A;31198;GLOMMEN;31154;GLOMMEN
Parkvägen 7;52011;VEGBY;52362;VEGBY
Grössjön 110;86013;STÖDE;86495;STÖDE
Norra Rådom 630;66060;MOLKOM;65598;MOLKOM
Ringvägen 19;57016;KVILLSFORS;57455;KVILLSFORS
Säteribacken 6;18592;VAXHOLM;13492;TYNNINGÖ
Östra Gränsgatan 30;28070;LÖNSBODA;28372;LÖNSBODA
Kallviken 886;93010;LÖVÅNGER;93293;LÖVÅNGER
Högåsbacken 5;66060;MOLKOM;65597;MOLKOM
Kungsnäs 154;85590;SUNDSVALL;85591;SUNDSVALL
Nordviken Solbacka 235;77070;LÅNGSHYTTAN;77673;LÅNGSHYTTAN
Inälv 419;82064;NÄSVIKEN;82466;NÄSVIKEN
Trastvägen 1;66050;VÅLBERG;66494;VÅLBERG
Estamåla 1;36023;ÄLMEBODA;36298;ÄLMEBODA
Sörfjärden Malmvägen 12;82077;GNARP;82962;GNARP
Norsplan 2E;66050;VÅLBERG;66452;VÅLBERG
Södra Ygsvägen 6;82041;FÄRILA;82762;FÄRILA
Vannaröd 2031;28010;SÖSDALA;28271;SÖSDALA
Kåsjö Klackvägen 16;82040;JÄRVSÖ;82754;JÄRVSÖ
Verkstadsgatan 12;28010;SÖSDALA;28271;SÖSDALA
Norränge 5529;82010;ARBRÅ;82163;ARBRÅ
Sånghussjön 53;82041;FÄRILA;82763;FÄRILA
Parkvägen 6;36052;KOSTA;36543;KOSTA
Loviken 125;86041;LIDEN;85598;LIDEN
Markarydsvägen 3B;28022;VITTSJÖ;28266;VITTSJÖ
Tomtavägen 8;56030;TENHULT;56162;TENHULT
Hagstigen 12;82023;BERGVIK;82667;BERGVIK
Baggälve 37;82060;DELSBO;82473;DELSBO
Vingavägen 28M;35263;VÄXJÖ;35265;VÄXJÖ
Tjärna 420;82062;BJURÅKER;82478;BJURÅKER
Östbyn 116;86041;LIDEN;85598;LIDEN
Andreasa väg 8;31198;GLOMMEN;31154;GLOMMEN
Undersvik 9521;82011;VALLSTA;82167;VALLSTA
Tynningövägen 102A;18592;VAXHOLM;13492;TYNNINGÖ
Väster-Gåltjärn 113;86025;KOVLAND;85592;KOVLAND
Näsviksvägen 21;82064;NÄSVIKEN;82465;NÄSVIKEN
Gränsfors 461;82070;BERGSJÖ;82952;BERGSJÖ
Snöbärsvägen 9;28022;VITTSJÖ;28266;VITTSJÖ
Rörvägen 44;86030;SÖRBERGE;86143;SÖRBERGE
Norromängsvägen 18;86013;STÖDE;86441;STÖDE
Södra vägen 11;82070;BERGSJÖ;82950;BERGSJÖ
Rödmyravägen 116;82040;JÄRVSÖ;82753;JÄRVSÖ
Nordsjö 3634;82011;VALLSTA;82168;VALLSTA
Ingopiren 14;47196;BLEKET;47150;BLEKET
Tjärnbergsbränna 4;93072;ADAK;93992;ADAK
Hinshyttan 317;77070;LÅNGSHYTTAN;77673;LÅNGSHYTTAN
Hallonvägen 3;57010;KORSBERGA;57476;KORSBERGA
Stationsvägen 20;82070;BERGSJÖ;82950;BERGSJÖ
Strömbackavägen 11B;82062;BJURÅKER;82478;BJURÅKER
Hagavik 5;35249;VÄXJÖ;35271;VÄXJÖ
Harsa Hundvägen 3;82040;JÄRVSÖ;82753;JÄRVSÖ
Tomas Lars väg 1;28022;VITTSJÖ;28266;VITTSJÖ
Rosenholm säteri 1;57012;LANDSBRO;57473;LANDSBRO
Ramsåsvägen 32;38052;TIMMERNABBEN;38471;TIMMERNABBEN
Nyvägen 1;36053;SKRUV;36594;SKRUV
Lyckevägen 35;57021;MALMBÄCK;57168;MALMBÄCK
Hästhult 5256;28022;VITTSJÖ;28268;VITTSJÖ
Ullandavägen 15;81040;HEDESUNDA;81896;HEDESUNDA
Gundrastorp 4045;28022;VITTSJÖ;28268;VITTSJÖ
Söderforsvägen 92;81040;HEDESUNDA;81895;HEDESUNDA
Cirkelvägen 13;86030;SÖRBERGE;86143;SÖRBERGE
Ölme Rankerud;66057;VÄSE;65596;VÄSE
Klockargårdsgatan 4A;57021;MALMBÄCK;57168;MALMBÄCK
Stänkvägen 10;86030;SÖRBERGE;86143;SÖRBERGE
Gammelvägen 14;82076;JÄTTENDAL;82996;JÄTTENDAL
Karsjö Svedjevägen 4;82040;JÄRVSÖ;82752;JÄRVSÖ
Clippervägen 21;28040;SKÅNES FAGERHULT;28673;SKÅNES FAGERHULT
Vallsved 141;83021;TANDSBYN;83499;TANDSBYN
Gudmundsås Norregård 3;57010;KORSBERGA;57475;KORSBERGA
Norra Rågeboda 1162;28072;KILLEBERG;28396;KILLEBERG
Västanvägen 13;28022;VITTSJÖ;28266;VITTSJÖ
Malöga Göviken 8;66040;SEGMON;66496;SEGMON
Vallgatan 31;28020;BJÄRNUM;28264;BJÄRNUM
Mellanvägen 1;28010;SÖSDALA;28273;SÖSDALA
Fågelsjövägen 258;82050;LOS;82770;LOS
Lilla Sandviks väg 1;37043;STURKÖ;37361;STURKÖ
Maråkers bruk 735;82020;LJUSNE;82677;LJUSNE
Klavredagatan 4;36072;KLAVRESTRÖM;36445;KLAVRESTRÖM
Kvistvägen 19;82020;LJUSNE;82675;LJUSNE
Bondegatan 21B;93070;MALÅ;93932;MALÅ
Idrottsvägen 21;82010;ARBRÅ;82160;ARBRÅ
Genvägen 3;38052;TIMMERNABBEN;38472;TIMMERNABBEN
Bergskogsvägen 6;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Enetsvägen 55;66010;DALS LÅNGED;66695;DALS LÅNGED
Hussjö 630;86035;SÖRÅKER;86195;SÖRÅKER
Skolgatan 3;36065;BODA GLASBRUK;36197;BODA GLASBRUK
Berge 135;82070;BERGSJÖ;82951;BERGSJÖ
Väderlanda Nydala;36047;VÄRENDS NÖBBELE;35574;VÄRENDS NÖBBELE
Västeräng 308;82060;DELSBO;82474;DELSBO
Vegby 304;52011;VEGBY;52362;VEGBY
Stigevägen 40;86040;INDAL;85597;INDAL
Egnahemsvägen 3;57016;KVILLSFORS;57455;KVILLSFORS
Ämmaryd 15;57015;HOLSBYBRUNN;57454;HOLSBYBRUNN
Huljen 313;86013;STÖDE;86496;STÖDE
Vedavägen 16;82064;NÄSVIKEN;82465;NÄSVIKEN
Bergvägen 17;86030;SÖRBERGE;86143;SÖRBERGE
Rönnvägen 35;82021;VALLVIK;82679;VALLVIK
Nygatan 26;57001;RÖRVIK;57693;RÖRVIK
Åkervägen 17;28010;SÖSDALA;28271;SÖSDALA
Hillavara 2;57001;RÖRVIK;57693;RÖRVIK
Yxenhult 7364;28040;SKÅNES FAGERHULT;28674;SKÅNES FAGERHULT
Segelviken 10;82076;JÄTTENDAL;82996;JÄTTENDAL
Vinnersjövägen 147;81040;HEDESUNDA;81895;HEDESUNDA
Tjärnmyra 19;82060;DELSBO;82472;DELSBO
Öjabyvägen 20B;35250;VÄXJÖ;35273;VÄXJÖ
Slättsjö 6956;28040;SKÅNES FAGERHULT;28675;SKÅNES FAGERHULT
Röslöv 1293;28010;SÖSDALA;28273;SÖSDALA
Grenforsen 124;85590;SUNDSVALL;85358;SUNDSVALL
Lillström 148;86013;STÖDE;86496;STÖDE
Rödjans väg 12;56029;TENHULT;56160;TENHULT
Bygatan 3;28023;HÄSTVEDA;28275;HÄSTVEDA
Persbyn 810;66291;ÅMÅL;66292;ÅMÅL
Brondalsvägen 14;47196;BLEKET;47150;BLEKET
Storgatan 25;28072;KILLEBERG;28376;KILLEBERG
Franshammar 249;82078;HASSELA;82998;HASSELA
Vallen 187;82076;JÄTTENDAL;82996;JÄTTENDAL
Notholmen 7;82076;JÄTTENDAL;82996;JÄTTENDAL
Tving 104;37033;TVING;37340;TVING
Nygatan 3D;36065;BODA GLASBRUK;36197;BODA GLASBRUK
Kitte 132;82070;BERGSJÖ;82951;BERGSJÖ
Helgehusvägen 2;35250;VÄXJÖ;35273;VÄXJÖ
Hult 11;56031;TENHULT;56163;TENHULT
Gysingevägen 63;81040;HEDESUNDA;81895;HEDESUNDA
Hjortens väg 8;81040;HEDESUNDA;81896;HEDESUNDA
Spännarbacken 622;82020;LJUSNE;82677;LJUSNE
Sandslån 3;82076;JÄTTENDAL;82996;JÄTTENDAL
Örtenäs 415;66060;MOLKOM;65598;MOLKOM
Räng Sandsvägen 1B;23691;HÖLLVIKEN;23661;HÖLLVIKEN
Storsand 106;86035;SÖRÅKER;86195;SÖRÅKER
Källebodavägen 30-12;29060;KYRKHULT;29394;KYRKHULT
Bondevägen 7;82060;DELSBO;82470;DELSBO
Härjedalsvägen 132;82041;FÄRILA;82760;FÄRILA
Skaftnäs Hörnet;57003;VRIGSTAD;57697;VRIGSTAD
Bruddalen 130;86025;KOVLAND;85592;KOVLAND
Torskemåla 128;38044;ALSTERBRO;38274;ALSTERBRO
Stora vägen 53;36052;KOSTA;36543;KOSTA
Rörvägen 23;86030;SÖRBERGE;86143;SÖRBERGE
Rödmyravägen 138;82040;JÄRVSÖ;82753;JÄRVSÖ
Hälsingenybo skolväg 7;82046;RAMSJÖ;82775;RAMSJÖ
Tomtavägen 14C;82010;ARBRÅ;82161;ARBRÅ
Lärkvägen 12;28010;SÖSDALA;28271;SÖSDALA
Åkerslundsvägen 12;23691;HÖLLVIKEN;23661;HÖLLVIKEN
Hårte 193;82076;JÄTTENDAL;82996;JÄTTENDAL
Bredasjö 105;37033;TVING;37340;TVING
Esplanaden 25;57012;LANDSBRO;57473;LANDSBRO
Björkgatan 12A;86030;SÖRBERGE;86142;SÖRBERGE
Trottatorp 8681;28040;SKÅNES FAGERHULT;28674;SKÅNES FAGERHULT
Ramsviken 121;82074;STOCKA;82496;STOCKA
Hennan Kilsvevägen 8;82046;RAMSJÖ;82775;RAMSJÖ
Bjuramålen 2;57003;VRIGSTAD;57697;VRIGSTAD
Nolby 855;66057;VÄSE;65595;VÄSE
Franshammar 135;82078;HASSELA;82998;HASSELA
Norränge 5545;82010;ARBRÅ;82163;ARBRÅ
Berghällsvägen 16;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Vetlandavägen 47B;57010;KORSBERGA;57475;KORSBERGA
Norrviksta 131;82065;FORSA;82462;FORSA
Skolgatan 21;36077;FRÖSEKE;36497;FRÖSEKE
Flemmingeland 110;38040;ORREFORS;38272;ORREFORS
Toftasjövägen 44;35249;VÄXJÖ;35272;VÄXJÖ
Lidenvägen 77;86041;LIDEN;85599;LIDEN
Backslingan 3;18592;VAXHOLM;13492;TYNNINGÖ
Fiskvik 340;82070;BERGSJÖ;82952;BERGSJÖ
Gisabo Dammen 1;57002;STOCKARYD;57694;STOCKARYD
Gislatorp 319;38040;ORREFORS;38272;ORREFORS
Krovägen 23;37033;TVING;37339;TVING
Vattlång 176;82071;ILSBO;82991;ILSBO
Näsumsvägen 129;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Hudaryd Rosenlund 3;57021;MALMBÄCK;57169;MALMBÄCK
Änga Hästhagsvägen 3;82040;JÄRVSÖ;82754;JÄRVSÖ
Nybrovägen 27;36077;FRÖSEKE;36497;FRÖSEKE
Bruksvägen 11;38040;ORREFORS;38271;ORREFORS
Älvvägen 26A;82041;FÄRILA;82760;FÄRILA
Esplanadgatan 10;28010;SÖSDALA;28272;SÖSDALA
Sörfjärden 206;82077;GNARP;82962;GNARP
Snärevägen 20;82051;HAMRA;82771;HAMRA
Backvägen 14;82075;HARMÅNGER;82995;HARMÅNGER
Askvägen 2;43278;TVÅÅKER;43279;TVÅÅKER
Väktarevägen 13;36024;LINNERYD;36258;LINNERYD
Norra Slagesnäsvägen 456;29060;KYRKHULT;29394;KYRKHULT
Gryttje 626;82077;GNARP;82962;GNARP
Älvåsen 13;82078;HASSELA;82998;HASSELA
Moningssand Bergvägen 5;82077;GNARP;82962;GNARP
Mellby-Björkeberga 1355;28010;SÖSDALA;28273;SÖSDALA
Norrfjärden Brännharsvägen 9;82077;GNARP;82962;GNARP
Kronovägen 21;37043;STURKÖ;37362;STURKÖ
Tomsjö 65;82062;BJURÅKER;82478;BJURÅKER
Höjdvägen 8;35249;VÄXJÖ;35271;VÄXJÖ
Lövudden 554;66050;VÅLBERG;66494;VÅLBERG
Sörfjärden Strandvägen 31;82077;GNARP;82962;GNARP
Ryggskog 83;82050;LOS;82770;LOS
Hagmoren 3373;82011;VALLSTA;82168;VALLSTA
Hamnvägen 13B;82062;BJURÅKER;82478;BJURÅKER
Hällkistevägen 8;35249;VÄXJÖ;35271;VÄXJÖ
Inganlid 12;82064;NÄSVIKEN;82465;NÄSVIKEN
Hjältaryd Olofsgård 4;57013;MYRESJÖ;57471;MYRESJÖ
Orrspelsvägen 7;31138;FALKENBERG;31178;FALKENBERG
Östansjö Hammars 3824;82011;VALLSTA;82168;VALLSTA
Skyttevägen 1A;57003;VRIGSTAD;57696;VRIGSTAD
Torsked 313;66060;MOLKOM;65598;MOLKOM
Stationsgatan 14B;66060;MOLKOM;65560;MOLKOM
Ängsvägen 40;86035;SÖRÅKER;86152;SÖRÅKER
Gryttje 656B;82077;GNARP;82962;GNARP
Klostergatan 6;77070;LÅNGSHYTTAN;77672;LÅNGSHYTTAN
Bjärme 270;86025;KOVLAND;85592;KOVLAND
Blankettvägen 1;28020;BJÄRNUM;28261;BJÄRNUM
Hemmeströ 4632;28020;BJÄRNUM;28265;BJÄRNUM
Måsvägen 1;28040;SKÅNES FAGERHULT;28674;SKÅNES FAGERHULT
Bergsänget 2070;82011;VALLSTA;82167;VALLSTA
Hultatorp västragård 1;57012;LANDSBRO;57473;LANDSBRO
Fridhem;93070;MALÅ;93993;MALÅ
Norrbovägen 2;82064;NÄSVIKEN;82466;NÄSVIKEN
Edavägen 2;36052;KOSTA;36543;KOSTA
Iste 3151;82011;VALLSTA;82168;VALLSTA
Högsbyvägen 28;36076;ÄLGHULT;36495;ÄLGHULT
Hantverksgatan 52;28020;BJÄRNUM;28263;BJÄRNUM
Östanåvägen 23;86013;STÖDE;86495;STÖDE
Helsingegården 5;82040;JÄRVSÖ;82754;JÄRVSÖ
Lövtjära 177;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Lovisas väg 5;37044;TJURKÖ;37363;TJURKÖ
Viravägen 18;82022;SANDARNE;82673;SANDARNE
Östra vägen 7;36052;KOSTA;36543;KOSTA
Silje 151;85590;SUNDSVALL;85591;SUNDSVALL
Ornäsvägen 42;82023;BERGVIK;82668;BERGVIK
Kilbovägen 52;82041;FÄRILA;82762;FÄRILA
Vetlandavägen 26;57015;HOLSBYBRUNN;57453;HOLSBYBRUNN
Orraryd Villatjället;36047;VÄRENDS NÖBBELE;35574;VÄRENDS NÖBBELE
Pokerbacken 10;82050;LOS;82770;LOS
Lillvallen 25;82060;DELSBO;82472;DELSBO
Föränge Norvägen 27;82040;JÄRVSÖ;82754;JÄRVSÖ
Billings väg 3;23691;HÖLLVIKEN;23661;HÖLLVIKEN
Sörbyvägen 56;82040;JÄRVSÖ;82752;JÄRVSÖ
Skärsnäsvägen 104;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Fanbyvägen 24;86013;STÖDE;86495;STÖDE
Fiskvik 246;82070;BERGSJÖ;82952;BERGSJÖ
Vannarödsvägen 10;28010;SÖSDALA;28271;SÖSDALA
Båtsmansvägen 12;54066;SJÖTORP;54266;SJÖTORP
Nergårdsvägen 101;56030;TENHULT;56162;TENHULT
Slättebacken 1;34032;GRIMSLÖV;34255;GRIMSLÖV
Furumovägen 11;35249;VÄXJÖ;35272;VÄXJÖ
Movägen Rasbacken 14;82041;FÄRILA;82761;FÄRILA
Doppvägen 8;28022;VITTSJÖ;28266;VITTSJÖ
Sörbyvägen 48;82040;JÄRVSÖ;82752;JÄRVSÖ
Husta 912;82077;GNARP;82962;GNARP
Åbovägen 98;82041;FÄRILA;82763;FÄRILA
Voltvägen 11;82020;LJUSNE;82676;LJUSNE
Slagnäsvägen 2;93072;ADAK;93992;ADAK
Nor Fabriksvägen 15;82040;JÄRVSÖ;82754;JÄRVSÖ
Karsjövägen 40;82040;JÄRVSÖ;82752;JÄRVSÖ
Kullsvägen 9;34032;GRIMSLÖV;34254;GRIMSLÖV
Movägen 24;82041;FÄRILA;82761;FÄRILA
Näsviksvägen 32B;82064;NÄSVIKEN;82465;NÄSVIKEN
Hovmansbygdsvägen 662;29060;KYRKHULT;29394;KYRKHULT
Färjerudsgatan 1;66050;VÅLBERG;66452;VÅLBERG
Skottek 110;52331;ULRICEHAMN;52341;ULRICEHAMN
Knutstorp 8;57010;KORSBERGA;57475;KORSBERGA
Fagerhult Åliden 1;57021;MALMBÄCK;57169;MALMBÄCK
Norsbrinken 4E;66050;VÅLBERG;66452;VÅLBERG
Hamravägen 114;82051;HAMRA;82771;HAMRA
Korrö 7;36024;LINNERYD;36297;LINNERYD
Trollbovägen 1G;77070;LÅNGSHYTTAN;77672;LÅNGSHYTTAN
Västgötagatan 220;43230;VARBERG;43239;VARBERG
Glimåkravägen 38;28070;LÖNSBODA;28371;LÖNSBODA
Knaggs väg 17;29060;KYRKHULT;29374;KYRKHULT
Bastnäs Kringelholmen 103;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Hässleholmsvägen 30;28022;VITTSJÖ;28267;VITTSJÖ
Skalgrusvägen 3;47196;BLEKET;47150;BLEKET
Hanåsvägen 48;28010;SÖSDALA;28271;SÖSDALA
Plogvägen 4;66050;VÅLBERG;66494;VÅLBERG
Hennan Smultronvägen 18;82046;RAMSJÖ;82775;RAMSJÖ
Svennas-Svens väg 9;82040;JÄRVSÖ;82752;JÄRVSÖ
Prästänge 2704;82011;VALLSTA;82168;VALLSTA
Östbyn 121;86041;LIDEN;85598;LIDEN
Slageryd östergård 28;57010;KORSBERGA;57475;KORSBERGA
Knivingaryd 439;38044;ALSTERBRO;38274;ALSTERBRO
Västra Hökmark 34;93010;LÖVÅNGER;93293;LÖVÅNGER
Fågelharn 670;82077;GNARP;82962;GNARP
Rudsta 403;66052;EDSVALLA;66493;EDSVALLA
Ramsjögård 1;82046;RAMSJÖ;82776;RAMSJÖ
Hohult Södergård 1;56031;TENHULT;56163;TENHULT
Slånvägen 4;36023;ÄLMEBODA;36298;ÄLMEBODA
Muhrs väg 9;29060;KYRKHULT;29374;KYRKHULT
Berge 216;82071;ILSBO;82991;ILSBO
Lissvägen 16;82011;VALLSTA;82167;VALLSTA
Lång Grönlund;66052;EDSVALLA;66493;EDSVALLA
Åkervägen 36;86035;SÖRÅKER;86152;SÖRÅKER
Hägghult 709;28070;LÖNSBODA;28393;LÖNSBODA
Inaängarna 308;82691;SÖDERHAMN;82640;SÖDERHAMN
Möllerydsvägen 72-16;29038;VILLANDS VÅNGA;29198;VILLANDS VÅNGA
Nedre bölegatan 29;82023;BERGVIK;82668;BERGVIK
Bryggaregatan 1;28022;VITTSJÖ;28267;VITTSJÖ
Lur 1179;28023;HÄSTVEDA;28276;HÄSTVEDA
Klacksvägen 15;82060;DELSBO;82471;DELSBO
Värends Nöbbele Västratorp;36047;VÄRENDS NÖBBELE;35574;VÄRENDS NÖBBELE
Grönås Jonsvägen 7;82040;JÄRVSÖ;82752;JÄRVSÖ
Ryggskog 87;82050;LOS;82770;LOS
Liljedals fyr 9;66040;SEGMON;66496;SEGMON
Hans Arons väg 11;31198;GLOMMEN;31154;GLOMMEN
Kilavägen 2;31176;FALKENBERG;31176;FALKENBERG
Hovsätter 1026;82011;VALLSTA;82167;VALLSTA
Ströms väg 7;54066;SJÖTORP;54266;SJÖTORP
Johans väg 9;35250;VÄXJÖ;35274;VÄXJÖ
Gärdsänget 6;82065;FORSA;82462;FORSA
Toppstigen 21;82040;JÄRVSÖ;82750;JÄRVSÖ
Flygsforsvägen 3;38040;ORREFORS;38271;ORREFORS
Asmastorp 2111;28023;HÄSTVEDA;28276;HÄSTVEDA
Norrlia 227;82062;BJURÅKER;82479;BJURÅKER
Hamnens väg 6;37044;TJURKÖ;37363;TJURKÖ
Skansasjövägen 16;51696;APLARED;51695;MÅLSRYD
Knivingaryd 449;38044;ALSTERBRO;38274;ALSTERBRO
Harsavägen 62;82040;JÄRVSÖ;82753;JÄRVSÖ
Bäcken Ringvägen 17;82040;JÄRVSÖ;82754;JÄRVSÖ
Patron Gustavs väg 10;38053;FLISERYD;38473;FLISERYD
Gunghästvägen 3;28023;HÄSTVEDA;28275;HÄSTVEDA
Hennan Lövnäsvägen 13;82046;RAMSJÖ;82775;RAMSJÖ
Älvtorpsvägen 5;82041;FÄRILA;82762;FÄRILA
Gårdsvägen 1;66060;MOLKOM;65560;MOLKOM
Tosthultsvägen 13;28070;LÖNSBODA;28372;LÖNSBODA
Hånick 242;82075;HARMÅNGER;82995;HARMÅNGER
Södervägen 28;36076;ÄLGHULT;36495;ÄLGHULT
Industrigatan 1;28070;LÖNSBODA;28371;LÖNSBODA
Skogs-Böle 691;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Gammelgatan 3;86032;FAGERVIK;86145;FAGERVIK
Fyllerydsvägen 29A;35249;VÄXJÖ;35272;VÄXJÖ
Movägen 8;38053;FLISERYD;38473;FLISERYD
Sjötorpavägen 5;35249;VÄXJÖ;35271;VÄXJÖ
Furuberg 113;82078;HASSELA;82998;HASSELA
Bjärme 312;86025;KOVLAND;85592;KOVLAND
Anfångarevägen 18;38040;ORREFORS;38272;ORREFORS
Långsbyn Bergsveden 331;77070;LÅNGSHYTTAN;77673;LÅNGSHYTTAN
Norafors 110;86025;KOVLAND;85592;KOVLAND
Kälsta 167;86013;STÖDE;86496;STÖDE
Skäggalösa Persgård 3;34032;GRIMSLÖV;34255;GRIMSLÖV
Nyvallen 112;82060;DELSBO;82472;DELSBO
Svenserud 406;66060;MOLKOM;65597;MOLKOM
Orienterarvägen 13B;86025;KOVLAND;85561;KOVLAND
Trogsta 545;82065;FORSA;82462;FORSA
Bricka 205;82062;BJURÅKER;82479;BJURÅKER
Ornäsvägen 27;82023;BERGVIK;82668;BERGVIK
Stolpen Skogsberg 1;57021;MALMBÄCK;57169;MALMBÄCK
Växjövägen 1C;57003;VRIGSTAD;57696;VRIGSTAD
Skidvägen 15;82040;JÄRVSÖ;82751;JÄRVSÖ
Önnesmark 9;93010;LÖVÅNGER;93293;LÖVÅNGER
Ytterön 428;37042;TORHAMN;37371;TORHAMN
Fiskvik 131;82070;BERGSJÖ;82953;BERGSJÖ
Vegby 208;52011;VEGBY;52362;VEGBY
Bredasjö 109;37033;TVING;37340;TVING
Östergatan 31;57002;STOCKARYD;57695;STOCKARYD
Sörfjärden Strandvägen 70;82077;GNARP;82962;GNARP
Logvägen 40;30274;HALMSTAD;30276;HALMSTAD
Mejerivägen 1E;82077;GNARP;82960;GNARP
Lycksjön 220;86013;STÖDE;86496;STÖDE
Josefs väg 5;37043;STURKÖ;37362;STURKÖ
Ingenjörsvägen 36;66050;VÅLBERG;66450;VÅLBERG
Lönngatan 15A;57010;KORSBERGA;57475;KORSBERGA
Skäggalösa Backagård 1;34032;GRIMSLÖV;34255;GRIMSLÖV
Farstorp 1295;28023;HÄSTVEDA;28276;HÄSTVEDA
Anders-Persvägen 13;82040;JÄRVSÖ;82750;JÄRVSÖ
Griffelvägen 4;35263;VÄXJÖ;35265;VÄXJÖ
Torsborgsvägen 1C;37042;TORHAMN;37371;TORHAMN
Brödhultsvägen 136-4;29060;KYRKHULT;29394;KYRKHULT
Kilarna 170;66291;ÅMÅL;66292;ÅMÅL
Kråksmåla 410;38044;ALSTERBRO;38274;ALSTERBRO
Borrsvängen 22;83021;TANDSBYN;83499;TANDSBYN
Vallvägen 2;82074;STOCKA;82496;STOCKA
Kånkås 349;86035;SÖRÅKER;86194;SÖRÅKER
Hussjö 615;86035;SÖRÅKER;86195;SÖRÅKER
Rösvägen 10;82020;LJUSNE;82675;LJUSNE
Nyeds-Bäckelid 315;66060;MOLKOM;65597;MOLKOM
Bergstigen 2;36052;KOSTA;36543;KOSTA
Kvarntorp 8;66040;SEGMON;66496;SEGMON
Backens väg 22;56030;TENHULT;56162;TENHULT
Strandäng 168;82060;DELSBO;82474;DELSBO
Harvens väg 10;82077;GNARP;82960;GNARP
Rådjursstigen 9;82023;BERGVIK;82667;BERGVIK
Smeakalles väg 20;43278;TVÅÅKER;43279;TVÅÅKER
Grycken Märrvik 80;77071;STJÄRNSUND;77674;STJÄRNSUND
Kyrkvägen 34;82029;STRÅTJÄRA;82669;STRÅTJÄRA
Järnvägsgatan 27;57002;STOCKARYD;57694;STOCKARYD
Fagersand 906;86035;SÖRÅKER;86194;SÖRÅKER
Norrängevägen 55;82010;ARBRÅ;82163;ARBRÅ
Oskarsgatan 9;28010;SÖSDALA;28271;SÖSDALA
Ljunga 1207;28010;SÖSDALA;28273;SÖSDALA
Hedsjö Norrgårdsvägen 7B;82046;RAMSJÖ;82776;RAMSJÖ
Cirkelvägen 12;86030;SÖRBERGE;86143;SÖRBERGE
Lidvägen 17;93010;LÖVÅNGER;93261;LÖVÅNGER
Tjärne 304;86035;SÖRÅKER;86195;SÖRÅKER
Sundängarna 310;66060;MOLKOM;65598;MOLKOM
Kronovägen 27;37043;STURKÖ;37362;STURKÖ
Norra Långsbo 221;82060;DELSBO;82474;DELSBO
